Beta,Avg_Current,Cov_B1,Cov_B2,Cov_B3
0.0,0.08196657809000002,0.02532674435085664,-0.027439610050532127,0.18518722130825319
0.21052631578947367,0.08671600097000001,0.019082588979080797,-0.03353544166231007,0.0054709104041481835
0.42105263157894735,0.09000840753000003,0.011633172348973453,-0.04003898235381241,0.3789473810524497
0.631578947368421,0.09161089794000002,0.003014557372346005,-0.04145008276928168,-0.20721493892970916
0.8421052631578947,0.09141064980000002,-0.005668636181676756,-0.035194299402194824,0.06752700858252719
1.0526315789473684,0.08941930525000003,-0.0136959976367296,-0.035684725645079775,-0.12603051466631118
1.263157894736842,0.08578004846000001,-0.021055450461873973,-0.03139404195917458,-0.03415726595930324
1.4736842105263157,0.08074997136000002,-0.02698316367724575,-0.025737878888698402,0.11886416903107469
1.6842105263157894,0.07466253258000001,-0.031077573106700854,-0.015358652231247789,0.06863487083206152
1.894736842105263,0.06787526781,-0.03355813320935895,-0.007985334067575196,0.16076566334728953
2.1052631578947367,0.06075176639,-0.03433418428695708,0.0007835236648882259,-0.014418021956414328
2.3157894736842106,0.05361016782,-0.03374638762750424,0.005813471830567923,-0.03394615540538408
2.526315789473684,0.04671010906,-0.03202080262663355,0.009339900647794965,-0.04828189914003179
2.736842105263158,0.04024145951999999,-0.029635994238283694,0.012888967904391754,0.01111441963702788
2.9473684210526314,0.03432967406999999,-0.026807463170360493,0.01409547438863495,-0.0014567657429225079
3.1578947368421053,0.029036533709999986,-0.02373281634486527,0.014520661923090766,0.012544863748783113
3.3684210526315788,0.02438388162999999,-0.020742388921121842,0.013910526564911766,0.005626880816841578
3.5789473684210527,0.02034903815999999,-0.017828889928617232,0.01285765145470742,-0.006602600034135765
3.789473684210526,0.016893986199999992,-0.01520397155541079,0.012034896346336171,-0.004311526462069894
4.0,0.013965059049999997,-0.012828084174935628,0.010548268394982858,-0.0046932211287764895
